,Tweets,,,
116,"I am deeply grieved to hear of the Shahadat of our brave jawan of the Punjab police Kamal Ahmad. My hearfelt condolences & prayers are with his wife & children. 

I fully stand by our law enforcement agencies in their mission to protect the lives & property of our citizens.",,,
117,"In addition to stating Pakistan's position on issues critical to our foreign policy, I made it clear to world that Pakistan desires peaceful & good neighbourly relations with India. For this, India should reverse post-August 2019 actions & stop the process of demographic change.",,,
118,Visiting flood affected areas & meeting people. The magnitude of the calamity is bigger than estimated. Times demand that we come together as one nation in support of our people facing this calamity. Let us rise above our differences & stand by our people who need us today.,,,
119,"In line with his commitment, my brother H.E. President 
@RTErdogan
 is leading humanitarian aid drive for flood affectees. Turkey  has mobilized massive relief effort. 6 flights have landed so far; 2 more will arrive tomorrow. Train carrying relief goods left Ankara for Pakistan",,,
120,"Worst among IK’s damaging legacy is blatant defiance & undermining of constitutional authority. Unfortunate that from President to Dy/Speaker NA to Governor Pb, those holding high offices have chosen blind loyalty to their leader @ expense of their constitutional responsibilities",,,
121,"SAARC Charter Day today is a reminder of vast untapped potential of regional development, connectivity & cooperation among countries of South Asia. The people of SAARC countries are victims of these missed opportunities. Pakistan is ready to play its part for revival of SAARC.",,,
122,Türkiye'nin 99. Cumhuriyet Bayramı'nda Cumhurbaşkanı @RTErdogan'a ve Türk milletine en içten selamlarımızı gönderiyorum. Gazi Mustafa Kemal Atatürk'ün önderliğinde Türk milletinin kahramanca yürüttüğü bağımsızlık mücadelesi tarihin kayıtlarında önemli bir yere sahiptir.,,,
123,"I strongly condemn the attack on senior journalist/analyst Ayaz Amir. Such attacks on media persons are totally unacceptable in a democratic society. On my directions, Punjab Chief Minister has ordered a high-level inquiry into the sad incident to bring perpetrators to justice.",,,
124,"Building on the pro-youth work we did in Punjab, the government launched various initiatives yesterday that aim to empower & facilitate our youth to become entrepreneurs. This is merely a beginning. A lot more will be rolled out in the weeks and months to come.",,,
125,I condemn in strongest possible words hurtful comments of India's BJP leader about our beloved Prophet (PBUH).  Have said it repeatedly India under Modi is trampling religious freedoms & persecuting Muslims. World should take note & severely reprimand India. Our love for the >,,,
126,دادو گرڈ اسٹیشن کی سیلاب سےحفاظت کیلئےسول و ملٹری حکام کےتعاون سے 36 گھنٹے کے دوران تین کلومیٹر کا بند باندھنے کا اقدام لائقِ تحسین ہے۔ رتوڈیرو اور خضدار کے درمیان M-8 پر لینڈ سلائڈنگ ہٹا کر بلوچستان کی آخری شاہراہ کو بھی ٹریفک کیلئے بحال کرنے پر میں NHA کی ٹیم کو شاباش دیتا ہوں۔,,,
127,بلوچستان میں مسلسل بارشوں اور سیلاب کی وجہ سے ہونے والی تباہی نا قابل بیان ہے۔ حکومت کے تمام اداروں نے ضرور یات کو سامنے رکھتے ہوئے  ریسکیو اور ریلیف کا کام اور تیز کر دیا ہے۔ ہم اس وقت تک چین سے نہیں بیٹھیں گے جب تک متاثرین کی آبادکاری مکمل نہیں ہو جاتی۔,,,
128,"In my interactions with the world leaders on the sidelines of #UNGA Session, I apprised them of the flood disaster & highlighted the need for a collective action to deal with climate change. I also told them Pakistan is keen to build partnerships in the realms of trade & economy.",,,
129,"During my visit to Gwadar, I witnessed how PTI govt miserably failed the people of Gwadar. Despite wasting billions of rupees & precious time, it could not complete any project for resolution of water & electricity issues for the locals who gave great sacrifices for Gwadar port.",,,
130,"An inspirational story of a young man from Balochistan, who didn't allow his circumstances to dampen his spirits of entrepreneurship. Launching a start-up of Balochi handicrafts that are a feast for the art lovers, he has shown how talented our youths are. A proud asset for !",,,
131,"Congratulations to the whole team led by CM Punjab Hamza Shehbaz for introducing a comprehensive, progress Local Government Act 2022. An effective, efficient & autonomous local government system is key to delivering on citizens' expectations. It will help produce local leadership",,,
132,میرا ہمیشہ سے یہ پختہ یقین رہا ہے کہ پاکستان صرف اور صرف شبانہ روز کی انتھک محنت سے ہی ترقی کرے گا۔ پاکستان کی ترقی و استحکام کے لیے دھرنا سیاست زہرقاتل ہے۔ ہماری تمام تر توجہ اور صلاحیتیں اس وقت گورننس اور معاشی مسائل پر قابو پانے کے فرض کی انجام دہی پر مرکوز ہیں۔ /۱,,,
133,We are grateful to the United Kingdom  for a pledge of an additional 9 million pounds at Resilient Pakistan Conf. The aid will help in providing technical support for disaster & climate planning as well as for restoration of healthcare & educational services in flood-hit areas.,,,
134,ودَّعتُ للتو طائرة شحن محملة بمواد إغاثة بوزن (٢٠) طناً لضحايا زلزال تركيا، أقامت باكستان جسراً جوياً، وبرياً، وبحرياً لتقديم المساعدات الإغاثية لإخوتنا في سوريا وتركيا.,,,
135,ٹانک میں پولیو ٹیم کی حفاظت پر مامور تین سیکیورٹی اہلکاروں کی شہادت پر دلی طور پر دکھی اور رنجیدہ ہوں۔ شہداء کے سوگواران کو اللہ صبر جمیل عطا فرمائے۔ میں نے وزیرِ داخلہ کو واقعہ کی مکمل تحقیقات کر کے رپورٹ آئندہ کابینہ اجلاس میں پیش کرنے کی ہدایت کی ہے۔,,,
136,پاور ڈویژن نے آج وفاقی کابینہ کو ملک میں حالیہ لوڈ شیڈنگ کی صورتحال پر تفصیلی طور پر آگاہ کیا. PTI حکومت کی مجرمانہ غفلت کی وجہ سے 3963 میگاواٹ کے منصوبے جنکو 2020-21 میں مکمل ہونا تھا،تعطل کا شکار ہوئے. ان منصوبوں کی عدم تکمیل کی وجہ سے عوام کو لوڈشیڈنگ کے عذاب کا سامنا کرنا پڑا,,,
137,"What an amazing news to wake up to early this morning! Arshad Nadeem has done Pakistan proud by winning the first gold medal in Commonwealth Games. His consistency, passion & hard work hold lessons for our youth. Congratulations Arshad on your brilliant achievement.",,,
138,"Teams comprising doctors, paramedics & rescue workers are being sent to Türkiye today to help with the ongoing rescue efforts. A plane carrying medicines and other essential relief goods is also being dispatched soon.",,,
139,"Development of IT sector can place our economy on solid footings. For this to happen, IT industry needs to be supported. Today I have constituted a committee of industry leaders to resolve hurdles. Target of increasing IT exports to $15 billion in 3 years is very much achievable",,,
140,أبارك لأخي صاحب السمو الملكي الأمير خالد بن سلمان بن عبد العزيز آل سعود بمناسبة صدور الأمر الملكي بتعيينه وزيرا للدفاع، متمنيا لسموه النجاح والسداد في مهام منصبه الجديد، سائلا الله عز وجل أن يديم على الشقيقة المملكة العربية السعودية نعمة الأمن والأمان، والرخاء والازدهار.,,,
141,Such nonsensical rhetoric is an attempt to remain politically relevant. The whole nation knows how he has used politics of hatred to divide the society for the sake of power.,,,
